PROJECT,DATE, DESCRIPTION , TYPE ,RECIPT TYPE,RECIPT NUMBER,NO. ITEMS, UNIT COST , TOTAL COST 
ADMIN,1/27/2023,MISC PPE,PPE,VC,,1,23860,23860
ADMIN,1/25/2023,BLIND RIVETS/MITS,Materials,OR,12612,1,750,750
ADMIN,1/10/2023,MISC PPE,PPE,VC,,1,6000,6000
ADMIN,1/28/2023,JOHN PAUL BUDGET (ORMOC),Misc. Admin,OR,3132770,1,263,263
ADMIN,1/28/2023,JOHN PAUL BUDGET (ORMOC) FUEL,Fuels,OR,01-000189322,1,500,500
21047794 (Service Request for Cathode Plate Buffing),1/28/2023,KNEE PAD,PPE,OR,1103,4,270,1080
21047794 (Service Request for Cathode Plate Buffing),1/28/2023,SCOURING PAD,Materials,OR,1103,50,46,2300
21047794 (Service Request for Cathode Plate Buffing),1/28/2023,SCOURING PAD,Materials,OR,51729,50,36,1800
21047794 (Service Request for Cathode Plate Buffing),1/28/2023,SCOURING PAD,Materials,OR,51729,29,36,1044
21047794 (Service Request for Cathode Plate Buffing),1/26/2023,SCOURING PAD,Materials,OR,1301,10,45,450
21047794 (Service Request for Cathode Plate Buffing),1/26/2023,SAFETY SIGN,PPE,OR,3275,2,90,180
21047794 (Service Request for Cathode Plate Buffing),1/24/2023,CABLE CLIPS,Materials,OR,16487,3,35,105
ADMIN,1/24/2023,DRINKING WATER,Water Utility,OR,6372,24,20,480
21047794 (Service Request for Cathode Plate Buffing),1/24/2023,SCOURING PAD,Materials,VC,,1,252,252
ADMIN,1/27/2023,SAKI LOAD ALLOWANCE,Misc. Admin,VC,,1,400,400
ADMIN,1/27/2023,SALLY ALLOWANCE,Misc. Admin,VC,,1,92,92
ADMIN,1/27/2023,JOHN PAUL FUEL,Fuels,OR,350426,1,150,150
21047794 (Service Request for Cathode Plate Buffing),1/25/2023,FORKLIFT TIP (JAN. 23-29),Misc. Operation,VC,,1,1000,1000
ADMIN,1/30/2023,ADMIN SNACK/LOAD,Misc. Admin,VC,,1,148,148
ADMIN,1/20/2023,GLOVES,PPE,VC,,10,100,1000
ADMIN,1/3/2023,CANTER/BUS (PAINT),Repair & Maintenance,OR,16221,1,880,880
ADMIN,1/3/2023,CANTER/BUS (BOLT W/ NUTS),Repair & Maintenance,OR,120,4,38,152
ADMIN,1/3/2023,CANTER/BUS (HINGES),Repair & Maintenance,OR,16117,1,865,865
ADMIN,1/3/2023,CANTER/BUS (PAINT BRUSH),Repair & Maintenance,OR,12262,1,99,99
ADMIN,1/3/2023,CANTER/BUS (FRONT WHEEL BEARING),Repair & Maintenance,OR,1207,1,5900,5900
ADMIN,1/8/2023,CANTER/BUS (OIL FILTER),Repair & Maintenance,OR,47383,1,850,850
ADMIN,1/7/2023,CANTER/BUS (CLAMP),Repair & Maintenance,OR,22921,3,85,255
ADMIN,1/7/2023,CANTER/BUS (LEAF SPRING),Repair & Maintenance,OR,37185,1,1600,1600
ADMIN,1/8/2023,CANTER/BUS ,Repair & Maintenance,OR,14934,1,550,550
ADMIN,1/8/2023,CANTER/BUS (BATTERY),Repair & Maintenance,OR,65193,1,9500,9500
ADMIN,1/8/2023,CANTER/BUS (BACKUP LIGHT),Repair & Maintenance,OR,47432,1,350,350
ADMIN,1/12/2023,CANTER/BUS (HAND BREAK),Repair & Maintenance,OR,47431,1,900,900
ADMIN,1/12/2023,CANTER/BUS (DRAGLINK KIT),Repair & Maintenance,OR,432835,1,1800,1800
ADMIN,1/12/2023,CANTER/BUS (FUEL),Fuels,OR,1294,1,60,60
ADMIN,1/12/2023,CANTER/BUS (FUEL),Fuels,OR,1399,1,100,100
ADMIN,1/12/2023,CANTER/BUS (HUB BOLT),Repair & Maintenance,OR,245,1,180,180
21047794 (Service Request for Cathode Plate Buffing),1/12/2023,FACESHILED VISOR,PPE,OR,501817,10,250,2500
ADMIN,1/12/2023,CANTER/BUS,Repair & Maintenance,VC,,1,6000,6000
ADMIN,1/12/2023,CANTER/BUS (HEADLIGHT RELAY),Repair & Maintenance,OR,10001400724,1,400,400
ADMIN,1/12/2023,CANTER/BUS (HEADLIGHT RELAY),Repair & Maintenance,OR,10001400727,1,110,110
ADMIN,1/20/2023,CANTER/BUS (TEMP. SENDER W/ TERMINAL),Repair & Maintenance,OR,37513,1,285,285
ADMIN,1/20/2023,CANTER/BUS (HANDBREAK DRUM),Repair & Maintenance,OR,47572,1,3500,3500
ADMIN,1/20/2023,CANTER/BUS (WIRE),Repair & Maintenance,OR,37514,1,545,545
ADMIN,1/20/2023,CANTER/BUS (FUEL),Fuels,OR,101383,1,150,150
ADMIN,1/6/2023,CANTER/BUS (HAND BREAK CABLE),Repair & Maintenance,OR,14836,1,2300,2300
ADMIN,1/5/2023,CANTER/BUS (TIRES),Repair & Maintenance,OR,65628,1,7700,7700
ADMIN,1/20/2023,CANTER/BUS (HAND BREAK REPAIR),Repair & Maintenance,VC,,1,1000,1000
ADMIN,1/20/2023,CANTER/BUS (REPAIR),Repair & Maintenance,VC,,1,3000,3000
ADMIN,1/20/2023,CANTER/BUS (REPAIR ENGINE STOP MOTOR),Repair & Maintenance,VC,,1,11000,11000
ADMIN,1/13/2023,CANTER/BUS (CANTER MECHANIC),Repair & Maintenance,VC,,1,2000,2000
ADMIN,1/3/2023,SAFETY SHIRT,PPE,VC,,120,131.23333,15747.9996
21047794 (Service Request for Cathode Plate Buffing),1/14/2023,SCOURING PAD,Materials,VC,,10,27.5,275
21047794 (Service Request for Cathode Plate Buffing),1/12/2023,BUFFING PAD,Materials,VC,,1,385,385
ADMIN,1/5/2023,SAFETY SHIRT,PPE,VC,,1,8258,8258
ADMIN,1/5/2023,SAFETY SHIRT,PPE,VC,,1,6361,6361
21047794 (Service Request for Cathode Plate Buffing),1/19/2023,BUFFING DISC,Materials,VC,,1,1752,1752
21047794 (Service Request for Cathode Plate Buffing),1/19/2023,FALL ARREST,PPE,VC,,1,3608,3608
ADMIN,1/3/2023,FUEL,Fuels,OR,337305,1,102,102
ADMIN,1/3/2023,FUEL,Fuels,OR,343479,1,150,150
ADMIN,1/3/2023,FUEL,Fuels,OR,371257,1,500,500
ADMIN,1/6/2023,FUEL,Fuels,OR,344362,1,500,500
ADMIN,1/12/2023,FUEL,Fuels,OR,345912,1,150,150
